"chromosome" "v" "D" "refractory_period_prop_cohort_alive" "sex_expressed" "dominance" "Starting_pop_size" "baseline_mean_lifespan" "f" "refractory_period" "mutation_time" "time_end" "parameter_space_ID" "mutation_events"
"202" "P" 0.04 -0.495 0.71125 1 1 4000 1 5 0.340731293541596 5 1000 24386 5
"203" "P" 0.004 -0.70125 0.29875 1 1 4000 1 5 1.20814817573642 5 1000 23366 5
"204" "P" 0.04 -0.4125 0.0925 1 1 4000 1 5 2.38054663446376 5 1000 24256 5
"205" "P" 0.04 -0.61875 0.46375 1 1 4000 1 5 0.768409665060492 5 1000 24524 5
"206" "P" 0.004 -0.20625 0.7525 1 1 4000 1 5 0.284354282359106 5 1000 22788 5
"207" "P" 0.004 -0.165 0.13375 1 1 4000 1 5 2.01178289320602 5 1000 22708 5
"208" "P" 0.004 -0.53625 0.79375 1 1 4000 1 5 0.230986728775236 5 1000 23190 5
"209" "P" 0.04 -0.825 1 1 1 4000 1 5 0 5 1000 24800 5
"210" "P" 0.004 -0.4125 0.38125 1 1 4000 1 5 0.964299951060516 5 1000 23020 5
"211" "P" 0.004 -0.7425 0.2575 0 1 4000 1 5 1.35673555887835 5 1000 23413 5
"212" "P" 0.004 -0.9075 0.2575 1 1 4000 1 5 1.35673555887835 5 1000 23614 5
"213" "P" 0.04 -0.45375 0.9175 0 1 4000 1 5 0.0861026990534116 5 1000 24345 5
"214" "P" 0.04 -0.45375 0.79375 0 1 4000 1 5 0.230986728775236 5 1000 24339 5
"215" "P" 0.004 -0.66 0.05125 0 1 4000 1 5 2.97103966096362 5 1000 23303 5
"216" "P" 0.04 -0.45375 0.4225 0 1 4000 1 5 0.861565832184908 5 1000 24321 5
"217" "P" 0.004 -0.53625 0.21625 0 1 4000 1 5 1.53132013317015 5 1000 23161 5
"218" "P" 0.004 -0.99 0.71125 0 1 4000 1 5 0.340731293541596 5 1000 23735 5
"219" "P" 0.04 -0.165 0.46375 0 1 4000 1 5 0.768409665060492 5 1000 23973 5
"220" "P" 0.004 -0.9075 0.34 1 1 4000 1 5 1.07880966137193 5 1000 23618 5
"221" "P" 0.04 -0.12375 0.34 0 1 4000 1 5 1.07880966137193 5 1000 23917 5
"222" "P" 0.04 -0.04125 0.9175 0 1 4000 1 5 0.0861026990534116 5 1000 23845 5
"223" "P" 0.004 -0.5775 0.95875 0 1 4000 1 5 0.042124926300671 5 1000 23247 5
"224" "P" 0.004 -0.33 0.835 1 1 4000 1 5 0.180323554131281 5 1000 22942 5
"225" "P" 0.04 -0.7425 0.29875 1 1 4000 1 5 1.20814817573642 5 1000 24666 5
"226" "P" 0.04 -0.78375 0.835 1 1 4000 1 5 0.180323554131281 5 1000 24742 5
"227" "P" 0.04 -0.61875 0.5875 0 1 4000 1 5 0.531879032963823 5 1000 24529 5
"228" "P" 0.004 0 0.2575 1 1 4000 1 5 1.35673555887835 5 1000 22514 5
"229" "P" 0.04 -0.20625 0.7525 0 1 4000 1 5 0.284354282359106 5 1000 24037 5
"230" "P" 0.04 -0.94875 0.38125 0 1 4000 1 5 0.964299951060516 5 1000 24919 5
"231" "P" 0.004 -0.0825 0.79375 1 1 4000 1 5 0.230986728775236 5 1000 22640 5
"232" "P" 0.004 -0.86625 0.79375 0 1 4000 1 5 0.230986728775236 5 1000 23589 5
"233" "P" 0.004 -0.825 1 0 1 4000 1 5 0 5 1000 23549 5
